,SS,LH_MMS,LH_rsFC,LH_MMS_o,LH_rsFC_o,Subject_left,Subject_right
0,0.5836771516786089,0.6091560047705785,0.7655945595889994,-15.658616102796598,-0.11317033370229357,1,2
1,-2.1249855702543843,1.6387899933118335,0.4374074799551363,-4.899768881988559,-0.14248537847878817,1,3
2,0.3085785939822891,-0.3717610228675139,-0.2475805232361898,-25.908410256930154,-0.20367137643860367,1,4
3,-0.8552999193482937,1.0049311476467582,0.2593004790382648,-11.523084114355758,-0.15839464191691688,1,5
4,0.8728833277183294,-0.6306776278974031,0.6217800280687692,-28.613880576915868,-0.12601645011775264,1,6
5,-0.0776174581683135,0.7313109894654016,0.0903710442954816,-14.382194741207982,-0.17348412669821123,1,7
6,-1.460164055821612,1.3541185415618089,0.11312866198342206,-7.874356639958077,-0.17145132095134086,1,8
7,1.3331443761717874,-1.8030316793394507,-1.963267134590842,-40.864037689571184,-0.35692369182653805,1,9
8,-2.2307927078298926,0.9544152100659928,1.2967879170631285,-12.050935040700303,-0.06572191776616587,1,10
9,-0.8552999193482937,-0.611103052082704,0.8192632344834644,-28.40934200015342,-0.1083764228348042,1,11
10,-0.0776174581683135,0.9158294936674872,1.0871200381209496,-12.454124749137472,-0.08445033104264155,1,12
11,-1.728208804346231,-0.0625944014137488,-0.20396681453748583,-22.677867672854244,-0.19977561727344129,1,13
12,-1.9839093868203743,-0.1219653573070801,0.9043186925468417,-23.298246419980355,-0.10077891301084985,1,14
13,-1.460164055821612,-1.1730710701337177,0.8019693246713325,-34.28145589351573,-0.10992118730593725,1,15
14,-0.8552999193482937,0.9643809719933698,0.7918071500313677,-11.946800842326082,-0.11082891531561234,1,16
15,-0.8552999193482937,-2.832204956122053,-0.721325192813547,-51.61807084297339,-0.24598823491084953,1,17
16,-1.728208804346231,-0.09085951561040412,1.2002525873888659,-22.973215387386613,-0.07434485781326294,1,18
17,-2.0615012877090804,0.15784316237558393,0.4558711713230598,-20.374472391685813,-0.14083612421870606,1,19
18,-2.1937602096784636,-0.4202138447548199,1.26665014967685,-26.414703283291008,-0.06841394940061651,1,20
19,-2.1937602096784636,0.8204125440560832,1.1509699672990015,-13.451155144957106,-0.07874698789178136,1,21
20,-2.2378465170015924,0.14250459434850538,0.8852155670686322,-20.53474809336803,-0.10248528420434555,1,22
21,-0.8552999193482937,-0.36854733631900355,0.36524559652826577,-25.874829816719576,-0.1489311802031429,1,23
22,-1.8922098675882677,0.2713102578739479,-1.3768654499401047,-19.188832486008963,-0.30454383683125175,1,24
23,-1.375518345761206,0.4896844951102209,0.18508873021772249,-16.906997308137488,-0.1650235462054198,2,3
24,1.0580458184754677,0.9414785311865168,-0.7524216286889264,-12.186112932220887,-0.24876589883074895,2,4
